Function,Learning Rate,Optimizer,Activation,Hidden Size,Final Loss,Accurcy
generate_linear,0.01,Adagrad,none_activation,20,0.08288560121845155,0.99
generate_linear,0.01,Adagrad,none_activation,30,0.08288560121845209,0.99
generate_linear,0.01,Adam,sigmoid,10,5.073957160598597e-12,1.0
generate_linear,0.01,Adam,sigmoid,20,3.991362048399448e-12,1.0
generate_linear,0.01,Adam,sigmoid,30,5.6420420580662805e-12,1.0
generate_linear,0.01,Adam,ReLU,10,0.0,1.0
generate_linear,0.01,Adam,ReLU,20,0.59,0.41
generate_linear,0.01,Adam,ReLU,30,0.59,0.41
generate_linear,0.01,Adam,tanh,10,6.670696196177881e-11,1.0
generate_linear,0.01,Adam,tanh,20,1.4472078337710393e-07,1.0
generate_linear,0.01,Adam,tanh,30,1.7448029548487286e-09,1.0
generate_linear,0.01,Adam,none_activation,10,0.08288564606104457,0.99
generate_linear,0.01,Adam,none_activation,20,0.08288560121845162,0.99
generate_linear,0.01,Adam,none_activation,30,0.08288560121852084,0.99
generate_linear,0.1,SGD,sigmoid,10,0.0011710457293941684,1.0
generate_linear,0.1,SGD,sigmoid,20,0.00052422705157831,1.0
generate_linear,0.1,SGD,sigmoid,30,0.000522207882814463,1.0
generate_linear,0.1,SGD,ReLU,10,0.59,0.41
generate_linear,0.1,SGD,ReLU,20,0.59,0.41
generate_linear,0.1,SGD,ReLU,30,0.59,0.41
generate_linear,0.1,SGD,tanh,10,0.00014257366250885412,1.0
generate_linear,0.1,SGD,tanh,20,0.00011183158247857089,1.0
generate_linear,0.1,SGD,tanh,30,0.00027859723303713484,1.0
generate_linear,0.1,SGD,none_activation,10,,0.41
generate_linear,0.1,SGD,none_activation,20,,0.41
generate_linear,0.1,SGD,none_activation,30,,0.41
generate_linear,0.1,Momentum,sigmoid,10,1.9280581139972748e-05,1.0
generate_linear,0.1,Momentum,sigmoid,20,1.8403391636212216e-05,1.0
generate_linear,0.1,Momentum,sigmoid,30,1.823204940305013e-05,1.0
generate_linear,0.1,Momentum,ReLU,10,0.59,0.41
generate_linear,0.1,Momentum,ReLU,20,0.59,0.41
generate_linear,0.1,Momentum,ReLU,30,0.59,0.41
generate_linear,0.1,Momentum,tanh,10,5.593858499561308e-06,1.0
generate_linear,0.1,Momentum,tanh,20,3.294043235159039e-06,1.0
generate_linear,0.1,Momentum,tanh,30,0.40999999996985587,0.59
generate_linear,0.1,Momentum,none_activation,10,,0.41
generate_linear,0.1,Momentum,none_activation,20,,0.41
generate_linear,0.1,Momentum,none_activation,30,,0.41
generate_linear,0.1,Adagrad,sigmoid,10,5.687450103539351e-06,1.0
generate_linear,0.1,Adagrad,sigmoid,20,3.894975422880085e-06,1.0
generate_linear,0.1,Adagrad,sigmoid,30,4.919824389599199e-06,1.0
generate_linear,0.1,Adagrad,ReLU,10,1.7287339074856879e-09,1.0
generate_linear,0.1,Adagrad,ReLU,20,0.59,0.41
generate_linear,0.1,Adagrad,ReLU,30,0.59,0.41
generate_linear,0.1,Adagrad,tanh,10,2.7350970212298845e-05,1.0
generate_linear,0.1,Adagrad,tanh,20,1.541960410584151e-05,1.0
generate_linear,0.1,Adagrad,tanh,30,6.189349083603462e-06,1.0
generate_linear,0.1,Adagrad,none_activation,10,0.08288560121845158,0.99
generate_linear,0.1,Adagrad,none_activation,20,0.0828856012184519,0.99
generate_linear,0.1,Adagrad,none_activation,30,0.08288560121845139,0.99
generate_linear,0.1,Adam,sigmoid,10,5.039705880280711e-13,1.0
generate_linear,0.1,Adam,sigmoid,20,3.680479197064884e-13,1.0
generate_linear,0.1,Adam,sigmoid,30,4.1949322996062597e-13,1.0
generate_linear,0.1,Adam,ReLU,10,0.59,0.41
generate_linear,0.1,Adam,ReLU,20,0.59,0.41
generate_linear,0.1,Adam,ReLU,30,0.59,0.41
generate_linear,0.1,Adam,tanh,10,0.41,0.59
generate_linear,0.1,Adam,tanh,20,0.41,0.59
generate_linear,0.1,Adam,tanh,30,0.41,0.59
generate_linear,0.1,Adam,none_activation,10,1.90418145218427,0.59
generate_linear,0.1,Adam,none_activation,20,77.2061162262758,0.59
generate_linear,0.1,Adam,none_activation,30,0.08288560121845188,0.99
generate_XOR_easy,0.001,SGD,sigmoid,10,0.23387209589565192,0.6666666666666666
generate_XOR_easy,0.001,SGD,sigmoid,20,0.1889081662013005,0.8095238095238095
