epoch,train_loss,train_accuracy,test_accuracy
1,1.384013056755066,0.28125,0.2743055555555556
2,1.3743497133255005,0.2951388888888889,0.2881944444444444
3,1.3559012413024902,0.34375,0.3125
4,1.3541728258132935,0.3402777777777778,0.3298611111111111
5,1.3460770845413208,0.3888888888888889,0.3298611111111111
6,1.321089506149292,0.4375,0.3368055555555556
7,1.321327805519104,0.4236111111111111,0.34375
8,1.3162351846694946,0.4513888888888889,0.3541666666666667
9,1.3028161525726318,0.4479166666666667,0.3472222222222222
10,1.287318468093872,0.4652777777777778,0.3576388888888889
11,1.2841492891311646,0.4756944444444444,0.3611111111111111
12,1.2820563316345215,0.4583333333333333,0.3680555555555556
13,1.2798041105270386,0.4861111111111111,0.375
14,1.2642738819122314,0.4965277777777778,0.3819444444444444
15,1.2509260177612305,0.53125,0.3854166666666667
16,1.264198660850525,0.5,0.3923611111111111
17,1.2418705224990845,0.53125,0.3888888888888889
18,1.2337464094161987,0.5347222222222222,0.3923611111111111
19,1.2297934293746948,0.5173611111111112,0.3958333333333333
20,1.2325350046157837,0.5208333333333334,0.4097222222222222
21,1.2096887826919556,0.5520833333333334,0.4097222222222222
22,1.223686933517456,0.5486111111111112,0.40625
23,1.2092349529266357,0.5416666666666666,0.40625
24,1.2090895175933838,0.59375,0.4166666666666667
25,1.1791497468948364,0.625,0.4270833333333333
26,1.174939751625061,0.6215277777777778,0.4236111111111111
27,1.1791021823883057,0.6076388888888888,0.4305555555555556
28,1.1780009269714355,0.625,0.4548611111111111
29,1.158913254737854,0.6319444444444444,0.4618055555555556
30,1.1653989553451538,0.6423611111111112,0.4722222222222222
31,1.1549190282821655,0.65625,0.4791666666666667
32,1.145513653755188,0.6805555555555556,0.4652777777777778
33,1.144838809967041,0.6527777777777778,0.46875
34,1.144022822380066,0.6631944444444444,0.46875
35,1.142817497253418,0.6701388888888888,0.4722222222222222
36,1.1353074312210083,0.6666666666666666,0.46875
37,1.1282658576965332,0.6493055555555556,0.4826388888888889
38,1.1347806453704834,0.6354166666666666,0.4861111111111111
39,1.1267954111099243,0.6736111111111112,0.4791666666666667
40,1.1201963424682617,0.6666666666666666,0.4930555555555556
41,1.1023731231689453,0.6979166666666666,0.5
42,1.1184598207473755,0.6701388888888888,0.5104166666666666
